feature,class,period,accuracy
deck,DeckA,baseline,0.4026717557251908
deck,DeckB,baseline,0.0
deck,DeckC,baseline,0.43469303667078696
deck,DeckD,baseline,0.44989339019189767
deck,DeckA,feedback,0.4767175572519084
deck,DeckB,feedback,0.22679924242424243
deck,DeckC,feedback,0.48372476308199425
deck,DeckD,feedback,0.3628997867803838
deck,DeckA,planning,0.40114503816793895
deck,DeckB,planning,0.007102272727272727
deck,DeckC,planning,0.43098475484136795
deck,DeckD,planning,0.4439232409381663
net_gain,gain,baseline,0.39123867069486407
net_gain,loss,baseline,0.7282780410742496
net_gain,gain,feedback,0.5936555891238671
net_gain,loss,feedback,0.6524486571879937
net_gain,gain,planning,0.5513595166163142
net_gain,loss,planning,0.6050552922590837
win/loss_2,loser,baseline,0.3641928079571538
win/loss_2,winner,baseline,0.8076303062869425
win/loss_2,loser,feedback,0.38332058148431525
win/loss_2,winner,feedback,0.7807630306286942
win/loss_2,loser,planning,0.35424636572302987
win/loss_2,winner,planning,0.814078452444922
