column_0,column_1,column_2,column_3,column_4,participant,trial,period
-38.03561,12.299083,-46.774055,16.956182,1.4415989,1,0,baseline
-6.800526,-5.8154464,19.850035,1.1630578,0.55441153,1,0,feedback
10.43272,-16.232994,-19.617336,-3.8502693,-4.843825,1,0,planning
5.009481,12.077845,12.108383,-6.1218643,-0.42490578,1,1,baseline
0.5635352,2.0671146,4.4403715,-10.4200945,8.169469,1,1,feedback
-8.80541,-9.206147,9.778038,-7.62341,-5.6602,1,1,planning
-7.98856,-0.44463634,13.327869,5.6672297,13.61856,1,2,baseline
10.8201,-2.5544221,7.7575707,2.0705168,7.369798,1,2,feedback
-4.243684,3.974631,1.1220089,-12.990201,-4.9943724,1,2,planning
-4.823543,-1.9517739,11.319009,-0.17792217,5.592705,1,3,baseline
14.440125,-2.7136235,7.0412717,-1.7622101,7.327107,1,3,feedback
-2.9214222,12.552063,4.8199854,-13.087544,-2.6791382,1,3,planning
-1.7914007,0.82344675,9.770412,4.7527432,8.496987,1,4,baseline
19.875856,-5.6770897,12.216586,-9.175283,-0.049966812,1,4,feedback
-7.081752,7.251212,-2.4612904,-12.546143,-5.565626,1,4,planning
-27.037815,-7.5001183,17.896461,2.4161205,-0.35734606,1,5,baseline
-0.9489758,-9.414178,6.144319,-10.772116,6.608782,1,5,feedback
13.973266,-3.979167,-3.3788676,-3.0473573,-2.6521845,1,5,planning
3.1795452,4.2375174,17.041857,3.7516987,11.6656275,1,6,baseline
1.6257963,0.32878113,7.1141934,-13.093372,2.0075712,1,6,feedback
-3.5601783,1.758881,-5.0787673,-16.396414,-8.228735,1,6,planning
-12.69983,2.593181,9.819457,7.752073,6.815403,1,7,baseline
11.809196,-0.04226768,6.55375,-1.685941,3.8902931,1,7,feedback
-0.79860854,6.827525,5.6027284,-12.424637,-8.426667,1,7,planning
-12.82178,0.08143473,18.31063,3.8588183,7.100481,1,8,baseline
6.2382717,-12.702327,10.26993,-6.5638924,6.718175,1,8,feedback
-1.3935499,3.0683653,1.1069748,-15.888591,-5.1927767,1,8,planning
-2.5279791,0.3488555,9.633429,4.8517075,5.6674166,1,9,baseline
10.244926,-14.062447,13.499651,-13.89147,8.602736,1,9,feedback
-10.876465,5.340976,-9.876424,-18.806252,-1.011545,1,9,planning
4.339541,0.17424107,11.401007,5.5407124,12.825577,1,10,baseline
-20.186628,-15.334547,13.137071,-9.6090765,-1.8996964,1,10,feedback
-8.4243355,4.5645895,-28.402096,-23.926855,-7.716354,1,10,planning
-21.543886,14.013924,18.747778,7.671208,-5.552081,1,11,baseline
-9.258992,15.172713,8.584885,-7.8792024,10.896244,1,11,feedback
-13.902027,-13.821966,-2.3557553,-9.67113,-4.5183105,1,11,planning
-17.962921,32.01407,16.846,2.9936128,7.2298613,1,12,baseline
85.53763,-8.482194,8.344929,4.8933244,29.579529,1,12,feedback
-11.204292,-11.622186,-10.233395,-6.599144,-4.793755,1,12,planning
2.7834437,8.696176,15.925409,-4.225467,8.036013,1,13,baseline
8.310631,7.0427623,10.373768,-10.719868,7.823154,1,13,feedback
1.319624,3.6219518,-14.158466,-5.954174,-3.9149616,1,13,planning
-17.250996,-0.096138954,-50.33632,7.7623525,18.628372,1,14,baseline
4.2926416,-0.23853493,13.205554,-8.568963,5.455474,1,14,feedback
-4.020624,1.8306341,1.9855695,-14.770742,-4.5802345,1,14,planning
-14.873952,4.219582,12.873346,2.1754043,4.8570166,1,15,baseline
14.534925,-0.55976975,5.786963,-4.1880884,5.31696,1,15,feedback
-7.6206126,-4.651342,-8.914559,-7.563696,-3.322445,1,15,planning
-4.3451285,-2.761743,15.095164,-0.25164095,11.204527,1,16,baseline
13.737083,-0.24846935,8.706032,-6.013547,4.2168427,1,16,feedback
-0.61530894,9.088363,-4.4224634,-6.9356623,0.5175947,1,16,planning
0.55414057,-7.6170497,9.991908,1.0114956,5.4882298,1,17,baseline
28.5241,-0.83612084,12.226263,-7.511301,1.151767,1,17,feedback
1.0422976,2.930658,1.9863696,-1.2394884,-5.749117,1,17,planning
-14.6923,-4.1805425,11.55012,7.8309593,4.129227,1,18,baseline
-17.509047,1.1200068,13.297047,-11.005831,5.0515304,1,18,feedback
0.66487,-6.3462563,-0.84896266,-12.988896,-13.653451,1,18,planning
-16.206314,17.525547,16.54786,9.969281,-2.1632442,1,19,baseline
36.0132,-4.315859,13.343797,-8.0521755,8.217562,1,19,feedback
6.606409,-18.962383,-12.026302,3.4974165,-15.33666,1,19,planning
-15.559448,8.310956,10.416202,5.264189,2.6043854,1,20,baseline
-21.438768,8.727845,10.680618,0.7986933,5.994388,1,20,feedback
-6.1584554,-5.71593,2.4426816,-15.215196,-2.2494447,1,20,planning
-6.336298,21.502285,11.378392,-1.436103,15.814024,1,21,baseline
12.997566,-0.48041272,16.158426,-6.9987373,6.1898556,1,21,feedback
6.4779186,10.353767,-27.433918,-6.0295677,0.04428315,1,21,planning
-5.374817,2.7967427,11.420777,5.081855,6.5859895,1,22,baseline
6.9216466,0.14207709,15.367554,-6.7593737,7.065154,1,22,feedback
-0.62794524,1.0961379,9.469829,-6.7032814,1.2739493,1,22,planning
-31.107391,16.34844,19.418995,-3.452459,1.3460684,1,23,baseline
-13.785208,17.010906,9.220561,4.751365,2.6102276,1,23,feedback
5.0501733,-15.643405,-10.110849,-5.435818,-3.1249883,1,23,planning
-6.7358303,11.421143,10.312764,4.536484,11.800906,1,24,baseline
9.648649,9.798196,14.01868,-11.388472,4.3405766,1,24,feedback
-14.912867,-1.1713347,4.8524437,-2.8259017,1.8458443,1,24,planning
-33.86414,1.8597786,15.698827,13.101147,5.6611156,1,25,baseline
15.091348,7.575734,11.392249,-5.787962,4.209491,1,25,feedback
16.126907,1.8731554,8.209726,-6.873109,-8.135643,1,25,planning
-22.94129,2.1271305,19.219988,2.3168042,0.31484848,1,26,baseline
12.229882,7.226618,9.685057,-5.782087,8.103416,1,26,feedback
9.042145,1.9558995,0.85175323,-14.797529,3.780156,1,26,planning
-16.146227,-2.1347203,14.293605,6.950983,4.373054,1,27,baseline
14.016761,17.303215,14.021915,-11.685291,7.4058957,1,27,feedback
3.9446907,4.9191694,-1.0152841,-5.5045156,-3.9810927,1,27,planning
-29.28314,1.1841648,14.584848,11.558034,10.455027,1,28,baseline
8.784677,8.276661,10.473264,-15.139644,8.279801,1,28,feedback
11.761114,8.230913,-12.054057,-9.117056,-9.622941,1,28,planning
-47.470646,13.641766,17.125334,10.366754,4.114732,1,29,baseline
