column_0,column_1,column_2,column_3,column_4,participant,trial,period
-77.230286,4.0301876,-2.2221308,2.5812893,1.9949625,1,0,baseline
13.50832,11.552486,-1.1170944,1.3457915,2.8303604,1,0,feedback
-13.686835,-2.855652,4.9606447,-2.0188932,-2.2990556,1,0,planning
0.7241057,3.481765,-0.04976839,-0.61455536,2.0087216,1,1,baseline
-5.1033077,7.444076,-0.23436804,1.0093076,0.78642607,1,1,feedback
7.1895247,-5.9641614,-6.3335366,0.42830038,-0.4783415,1,1,planning
0.8572726,2.407039,0.9817007,1.4585704,1.5435674,1,2,baseline
-0.66307664,7.8327904,0.31458905,2.8333464,2.562335,1,2,feedback
0.9202852,-9.556212,-8.056651,-0.13167435,-1.7094783,1,2,planning
-1.0670819,5.0383215,3.6782744,1.1153305,2.9604194,1,3,baseline
-1.6014841,9.994136,-0.66773665,2.4160113,2.341782,1,3,feedback
3.4083397,-9.389485,-3.7092245,-0.546345,1.3349315,1,3,planning
-2.9259255,3.3131785,5.137929,-0.271971,1.3423907,1,4,baseline
4.5385284,6.0391765,-0.016680008,2.075646,2.2721348,1,4,feedback
-1.599854,-9.375044,-4.648142,-3.7903674,0.59588736,1,4,planning
5.0571213,3.2537549,0.08000052,0.68123376,2.3777852,1,5,baseline
-3.1011286,7.738156,1.6177461,-0.24164613,0.8592568,1,5,feedback
-2.4051254,-2.1211445,-7.6667356,-0.003753381,-0.7905784,1,5,planning
6.6189547,5.1230555,4.375426,1.8314078,-0.38296902,1,6,baseline
-1.884431,8.827941,0.9977463,0.74329215,1.8753701,1,6,feedback
-3.2868502,-12.146879,-4.7900734,0.3046293,-0.28704497,1,6,planning
-3.9817176,4.2613554,1.163605,2.4448633,0.9364909,1,7,baseline
-2.0797992,7.82887,-0.14122826,2.2773247,2.9453914,1,7,feedback
4.0913305,-9.386056,-8.764742,-0.08086967,0.5018811,1,7,planning
6.5903263,6.4621773,0.59217,1.9260843,1.9279099,1,8,baseline
1.8868511,5.7605553,1.3972021,1.3207619,2.566762,1,8,feedback
0.84255666,-11.587219,-2.6588275,0.8004855,-1.7282608,1,8,planning
-3.0009751,4.822747,1.4153448,0.029340029,0.019284368,1,9,baseline
