column_0,column_1,participant,trial,period
90.59631,17.082956,1,0,baseline
-87.19517,6.2022033,1,0,feedback
61.105793,14.084574,1,0,planning
-3.6418045,-4.993725,1,1,baseline
49.185326,-17.294596,1,1,feedback
-48.68183,-6.428043,1,1,planning
2.2627392,7.700942,1,2,baseline
13.350937,-29.659597,1,2,feedback
13.446698,-2.1403365,1,2,planning
24.133091,-10.004611,1,3,baseline
27.077667,-42.03344,1,3,feedback
-23.290016,-43.222694,1,3,planning
34.01591,15.667107,1,4,baseline
-52.6431,0.5177431,1,4,feedback
13.7774105,-32.84967,1,4,planning
-27.25731,-8.892294,1,5,baseline
25.202528,2.2144773,1,5,feedback
1.397006,37.564846,1,5,planning
-26.857405,-21.519258,1,6,baseline
27.306852,-27.584919,1,6,feedback
36.628242,-23.865894,1,6,planning
33.880497,2.716216,1,7,baseline
25.102743,-24.50085,1,7,feedback
9.920888,1.4024595,1,7,planning
-25.920107,-24.71779,1,8,baseline
-14.701149,15.609495,1,8,feedback
-4.448384,-58.886265,1,8,planning
32.145763,-2.5500693,1,9,baseline
-48.512817,-1.6210029,1,9,feedback
60.89996,-25.7885,1,9,planning
9.407374,19.383635,1,10,baseline
-52.40324,-0.050936885,1,10,feedback
79.883804,6.063691,1,10,planning
-32.238514,-26.445456,1,11,baseline
-6.0518203,42.614944,1,11,feedback
17.002987,-13.814999,1,11,planning
-8.833418,-2.8020318,1,12,baseline
-4.0287986,-35.64181,1,12,feedback
39.300186,28.620634,1,12,planning
-37.315056,22.2476,1,13,baseline
-27.693726,23.384457,1,13,feedback
50.095917,14.078082,1,13,planning
91.055016,18.379812,1,14,baseline
-45.983646,-21.688894,1,14,feedback
-9.180324,-60.251945,1,14,planning
16.00265,4.3162656,1,15,baseline
29.156069,-17.225021,1,15,feedback
28.276545,-26.751951,1,15,planning
0.10208548,-28.45358,1,16,baseline
-20.021393,-28.864513,1,16,feedback
20.716099,-36.06023,1,16,planning
25.572842,-14.5684,1,17,baseline
-60.99214,-0.38439518,1,17,feedback
-43.453293,52.953476,1,17,planning
25.547817,-14.569239,1,18,baseline
-61.064022,-0.3408942,1,18,feedback
27.173471,-9.877757,1,18,planning
-2.0930736,-30.57193,1,19,baseline
-61.10292,-0.33219975,1,19,feedback
42.039505,31.997356,1,19,planning
29.730848,-6.495066,1,20,baseline
-22.591337,15.021369,1,20,feedback
9.972281,-3.8854163,1,20,planning
26.929352,-2.3464892,1,21,baseline
-71.14712,30.159544,1,21,feedback
66.904045,23.996181,1,21,planning
26.16606,34.189137,1,22,baseline
-69.2985,0.27103394,1,22,feedback
-51.198433,27.03919,1,22,planning
-24.258352,31.764105,1,23,baseline
-19.21011,42.204346,1,23,feedback
34.336693,29.678638,1,23,planning
34.057823,16.515469,1,24,baseline
-63.436398,3.48668,1,24,feedback
-39.227848,11.26083,1,24,planning
5.6191707,36.206287,1,25,baseline
-24.690414,-43.620613,1,25,feedback
-31.140818,23.351532,1,25,planning
-42.29176,12.035165,1,26,baseline
-11.643401,50.645153,1,26,feedback
-7.223986,-56.66242,1,26,planning
9.746424,-21.428423,1,27,baseline
-64.79123,0.67130446,1,27,feedback
-4.9018574,30.951479,1,27,planning
20.804554,-5.859768,1,28,baseline
-14.670643,10.934316,1,28,feedback
48.497627,5.29409,1,28,planning
1.60611,-3.8729794,1,29,baseline
-4.949033,17.851847,1,29,feedback
40.32544,38.442913,1,29,planning
-9.939558,-8.408716,1,30,baseline
-51.004684,9.138812,1,30,feedback
8.852107,-9.583071,1,30,planning
2.10338,-3.928024,1,31,baseline
-18.981417,30.381718,1,31,feedback
10.309529,-4.817499,1,31,planning
31.433344,19.655907,1,32,baseline
-34.554398,-3.6661377,1,32,feedback
-46.8094,-3.2425802,1,32,planning
-45.81279,-17.318863,1,33,baseline
-58.43547,1.2666029,1,33,feedback
-7.5053377,-56.584114,1,33,planning
-1.4764616,-3.0337486,1,34,baseline
24.683233,30.54321,1,34,feedback
34.90535,-22.506617,1,34,planning
-26.276995,-10.885552,1,35,baseline
-24.048037,45.823967,1,35,feedback
-7.656283,-52.57925,1,35,planning
54.83154,0.18081275,1,36,baseline
34.902798,-29.831558,1,36,feedback
-27.746077,-41.288086,1,36,planning
25.84088,11.137276,1,37,baseline
-20.976145,-41.900997,1,37,feedback
5.808165,2.9812758,1,37,planning
-4.622365,22.855227,1,38,baseline
4.478418,21.961403,1,38,feedback
28.843569,35.832092,1,38,planning
-30.936054,-16.058096,1,39,baseline
-58.277378,-8.91421,1,39,feedback
-17.559769,30.29543,1,39,planning
-54.950554,-20.890867,1,40,baseline
-40.942677,-7.808353,1,40,feedback
-29.51468,-28.273445,1,40,planning
41.998684,-30.581533,1,41,baseline
-40.32669,-39.442486,1,41,feedback
-64.46641,-12.522059,1,41,planning
86.95253,21.89884,1,42,baseline
-60.016262,-2.5761278,1,42,feedback
19.382738,-25.764908,1,42,planning
9.393724,17.243757,1,43,baseline
-68.00832,-17.798012,1,43,feedback
74.92324,15.33992,1,43,planning
15.086823,5.571813,1,44,baseline
-2.1814213,25.242678,1,44,feedback
-38.470936,-7.202225,1,44,planning
6.0458426,4.7623887,1,45,baseline
31.997198,-45.00699,1,45,feedback
0.84908783,12.800871,1,45,planning
-19.466444,-21.714693,1,46,baseline
48.886124,-2.620339,1,46,feedback
50.68163,-3.2114265,1,46,planning
38.22795,1.7451941,1,47,baseline
8.153182,-12.128501,1,47,feedback
71.62543,10.108212,1,47,planning
36.92317,1.0442513,1,48,baseline
23.875298,-37.472466,1,48,feedback
20.7885,-29.167324,1,48,planning
-33.36456,-19.694075,1,49,baseline
73.91567,-11.079374,1,49,feedback
67.84189,5.3990445,1,49,planning
37.045998,-7.054569,1,50,baseline
-21.23127,-42.337223,1,50,feedback
1.7513536,-63.416862,1,50,planning
25.883896,11.993566,1,51,baseline
-66.613655,-4.229074,1,51,feedback
-14.1028805,-32.178665,1,51,planning
29.621565,27.201233,1,52,baseline
20.155924,6.08621,1,52,feedback
-34.35551,-52.08425,1,52,planning
-6.3009167,21.708487,1,53,baseline
50.371986,-16.225798,1,53,feedback
17.064405,-41.494446,1,53,planning
-30.559837,-11.834973,1,54,baseline
31.241709,-28.310598,1,54,feedback
-20.19412,-49.25895,1,54,planning
2.1622708,5.9588256,1,55,baseline
-33.60688,-27.022087,1,55,feedback
-13.947596,-41.184044,1,55,planning
1.3312521,5.2318993,1,56,baseline
23.74655,-30.294178,1,56,feedback
-37.11286,-7.518918,1,56,planning
-51.38869,-17.199308,1,57,baseline
-27.128742,-20.466232,1,57,feedback
-17.400997,-47.68999,1,57,planning
32.826138,19.26211,1,58,baseline
30.141472,8.549052,1,58,feedback
-66.425095,-18.117098,1,58,planning
-5.81891,20.273977,1,59,baseline
25.656664,35.952175,1,59,feedback
-33.75343,-22.18431,1,59,planning
58.167942,6.9304056,1,60,baseline
-44.19001,24.213375,1,60,feedback
29.532713,-50.84521,1,60,planning
23.52229,-2.0280933,1,61,baseline
41.02875,-35.338394,1,61,feedback
-37.714375,-7.4197745,1,61,planning
-67.01717,-8.933293,1,62,baseline
12.790435,-18.263693,1,62,feedback
22.768896,-31.020754,1,62,planning
-57.048553,-17.624537,1,63,baseline
75.0888,-9.599052,1,63,feedback
63.170868,5.898674,1,63,planning
-15.934971,-2.561064,1,64,baseline
-13.074432,24.961046,1,64,feedback
-11.29464,-54.32998,1,64,planning
28.344046,0.5801234,1,65,baseline
4.2517877,26.65501,1,65,feedback
33.772785,-34.37372,1,65,planning
-2.323481,7.689782,1,66,baseline
38.504635,-26.425373,1,66,feedback
-7.008439,6.35927,1,66,planning
-38.596508,-5.565137,1,67,baseline
15.973743,23.49538,1,67,feedback
-29.150774,-25.73116,1,67,planning
-57.56523,-18.096478,1,68,baseline
16.144781,13.450379,1,68,feedback
61.47303,14.70139,1,68,planning
-22.509768,20.304113,1,69,baseline
-12.2201185,42.3562,1,69,feedback
-31.934736,-11.97546,1,69,planning
-54.958973,-20.971817,1,70,baseline
-47.502796,38.31902,1,70,feedback
5.6567316,-29.55913,1,70,planning
-1.0791526,-30.876337,1,71,baseline
-68.824554,17.61324,1,71,feedback
8.191531,-26.576984,1,71,planning
31.727577,24.599272,1,72,baseline
27.275276,-6.8167915,1,72,feedback
22.019896,-53.723614,1,72,planning
-76.802864,-9.78377,1,73,baseline
-4.0161,-12.960898,1,73,feedback
6.1271524,-50.027233,1,73,planning
-4.6631665,20.598476,1,74,baseline
-37.89085,-29.933378,1,74,feedback
55.98068,25.117928,1,74,planning
39.57192,2.1987,1,75,baseline
-30.224506,0.53540033,1,75,feedback
-37.956684,-7.6297126,1,75,planning
10.827176,12.981189,1,76,baseline
-41.094234,32.19386,1,76,feedback
6.8529596,30.330297,1,76,planning
-4.2914414,37.13041,1,77,baseline
7.7093205,1.3631239,1,77,feedback
1.4924256,37.05211,1,77,planning
-17.475002,45.730835,1,78,baseline
-34.963406,-28.567291,1,78,feedback
-15.039902,37.98533,1,78,planning
-64.05415,-10.952555,1,79,baseline
0.9874034,-32.87326,1,79,feedback
39.18057,-36.43395,1,79,planning
31.841484,3.9157853,1,80,baseline
-69.247246,-1.0139402,1,80,feedback
-12.095704,-26.562479,1,80,planning
6.8850603,34.41123,1,81,baseline
-39.19711,13.558464,1,81,feedback
64.24928,35.24722,1,81,planning
-9.6109085,33.00482,1,82,baseline
31.070976,-28.572653,1,82,feedback
-49.67992,7.5576034,1,82,planning
24.882925,-19.943048,1,83,baseline
-4.9090977,-33.787292,1,83,feedback
17.357433,-2.0617769,1,83,planning
89.95475,17.853848,1,84,baseline
