column_0,column_1,column_2,column_3,column_4,participant,trial,period
-5.3591366,7.4674172,8.776793,1.4406767,-0.11562538,1,0,baseline
19.438622,1.1247218,-2.0159144,-2.503863,-0.0067506526,1,0,feedback
-3.0344305,-2.502195,7.4365535,0.19561769,-4.5077877,1,0,planning
-3.239401,3.2531884,0.9147108,-0.56865513,2.2016866,1,1,baseline
9.662684,1.1649889,3.8990457,-0.6331542,0.8148575,1,1,feedback
-0.39901334,1.3586727,-4.495049,-2.3291202,-1.545166,1,1,planning
-3.5623138,1.770052,3.8506303,4.407451,0.4541639,1,2,baseline
4.7119293,1.7717321,3.9276192,2.5428205,1.8225299,1,2,feedback
12.827746,-4.533181,-7.073382,-3.2056155,-3.3399153,1,2,planning
-15.897237,5.921133,8.276132,3.1737528,-0.7478852,1,3,baseline
1.316149,5.2085776,0.89863086,1.1500546,0.5672727,1,3,feedback
-5.3803124,-4.5802875,-1.2969284,-3.1077976,0.64806,1,3,planning
-22.121466,4.2489176,7.707955,1.7087545,-4.381242,1,4,baseline
-8.42528,-2.9537795,2.399973,1.134618,0.055666324,1,4,feedback
-9.657519,-7.037604,-2.7021158,-7.0967293,-0.4340009,1,4,planning
-18.128956,1.0621262,-0.5276201,3.4548485,1.2494841,1,5,baseline
-19.581837,-2.8250942,9.652311,-3.2340467,-1.5013144,1,5,feedback
-11.317032,1.4472864,-8.430012,-2.3189888,-2.477514,1,5,planning
-16.314716,4.9532,7.1978073,3.4704452,-5.314842,1,6,baseline
5.333547,3.2177646,4.281944,-1.7359731,1.5856346,1,6,feedback
-10.036546,-11.531308,-4.4193754,-2.0486236,-1.6379122,1,6,planning
-18.60586,4.0912724,3.2983737,6.157099,-1.0796211,1,7,baseline
0.2116023,2.5286934,2.6707227,2.1576216,2.0798604,1,7,feedback
-4.213091,-4.5136256,-7.991532,-4.1142426,-0.4974607,1,7,planning
-6.5333595,10.192047,0.6953311,4.346525,0.585229,1,8,baseline
-4.124584,-2.3073328,5.32695,-0.067569636,2.2283185,1,8,feedback
-10.530011,-9.196274,-1.4112399,-0.36738086,-3.4799182,1,8,planning
-18.027735,3.7309492,3.1092203,-0.7193632,-0.7808778,1,9,baseline
7.050468,-4.448852,1.3598282,-3.3951318,2.5874188,1,9,feedback
-6.454826,-14.055229,-2.76274,-2.0759048,-1.0405647,1,9,planning
10.57315,1.1882219,5.63663,-0.42117083,1.6676755,1,10,baseline
-5.4991894,-2.5713828,1.3575677,0.29661068,0.12356572,1,10,feedback
-3.8529162,1.9930569,-5.214316,1.609496,0.13348855,1,10,planning
-8.943106,1.7318512,5.596093,1.9859772,-7.4154596,1,11,baseline
-9.113606,-3.829172,7.1446595,0.11295957,5.040891,1,11,feedback
-6.9945016,-3.5964673,-7.1133933,0.80189884,-1.7194489,1,11,planning
-13.074324,4.878474,-0.4693089,-1.171481,0.25098872,1,12,baseline
-8.444406,3.4167671,-5.676378,1.458693,1.8981305,1,12,feedback
-9.392005,-3.817663,-7.223432,-0.71301216,1.486405,1,12,planning
-3.6181407,-3.4498105,0.2609805,-0.75869334,-0.3097825,1,13,baseline
11.834668,3.7549438,0.2737634,0.09386091,0.80419075,1,13,feedback
0.54867786,-3.564658,-6.2792997,-0.021579886,-1.6755627,1,13,planning
-7.421711,-1.0647279,2.844978,-3.6945271,-3.0636885,1,14,baseline
3.6180184,-1.5258988,-0.37051967,-3.7071114,-2.5840263,1,14,feedback
2.1996894,-6.535664,0.25007695,-2.5791104,-3.7856853,1,14,planning
-3.935453,4.5970125,5.0379095,10.199144,2.903907,1,15,baseline
-7.719197,2.2587903,2.368433,2.5420878,2.0856206,1,15,feedback
-3.6183856,-3.3844614,-2.4169133,-1.4800054,2.487876,1,15,planning
-21.020626,-1.725975,3.295561,2.4056094,0.79253495,1,16,baseline
