column_0,column_1,participant,trial,period
-30.690641,30.041779,1,0,baseline
79.74593,-6.5401735,1,0,feedback
-38.348423,-33.15347,1,0,planning
-17.196419,8.92334,1,1,baseline
52.717396,-13.701099,1,1,feedback
1.7671528,29.352032,1,1,planning
-5.067311,0.7041895,1,2,baseline
33.906803,-16.548567,1,2,feedback
60.54269,-19.283703,1,2,planning
-63.120193,19.318836,1,3,baseline
-18.291294,-46.190475,1,3,feedback
-38.00682,-21.745783,1,3,planning
-72.42389,8.332052,1,4,baseline
-44.63663,16.435751,1,4,feedback
-54.28817,-2.737399,1,4,planning
-60.29169,8.662158,1,5,baseline
-80.78494,4.516674,1,5,feedback
-54.39241,7.9402404,1,5,planning
-68.02539,17.871244,1,6,baseline
24.390678,-29.985266,1,6,feedback
-53.262062,-48.61858,1,6,planning
-68.498344,14.281527,1,7,baseline
-10.275201,-31.75423,1,7,feedback
-42.254524,-4.018154,1,7,planning
-27.451893,43.54769,1,8,baseline
-13.959394,5.856375,1,8,feedback
-58.467007,-33.01332,1,8,planning
-63.825108,9.627064,1,9,baseline
36.82068,15.806658,1,9,feedback
-50.8122,-49.100094,1,9,planning
46.917114,8.32079,1,10,baseline
-29.900965,15.255916,1,10,feedback
-21.54373,0.8034554,1,10,planning
-24.428453,28.161325,1,11,baseline
-48.163895,33.15237,1,11,feedback
-36.21703,-11.889679,1,11,planning
-53.336304,28.73217,1,12,baseline
-56.969307,-33.378372,1,12,feedback
-49.51183,-9.079815,1,12,planning
-8.970617,-38.114395,1,13,baseline
58.707542,-24.287838,1,13,feedback
-10.768075,-30.559088,1,13,planning
-27.948301,16.582737,1,14,baseline
15.259134,-18.423172,1,14,feedback
-10.753284,-57.82955,1,14,planning
-31.792265,24.919827,1,15,baseline
-48.779533,-3.924883,1,15,feedback
-26.869032,-23.995209,1,15,planning
-66.11942,3.486369,1,16,baseline
-13.672508,-24.143799,1,16,feedback
-32.966015,-22.748219,1,16,planning
-71.37999,7.2073603,1,17,baseline
32.521526,-22.135498,1,17,feedback
-52.241497,33.458042,1,17,planning
-45.515053,34.512314,1,18,baseline
32.085747,-22.302895,1,18,feedback
10.50575,0.38204348,1,18,planning
-42.612247,43.19044,1,19,baseline
32.00242,-22.04037,1,19,feedback
-12.505418,6.4291425,1,19,planning
-65.01985,17.893045,1,20,baseline
31.481853,-21.38352,1,20,feedback
-44.18779,-9.15852,1,20,planning
-32.20041,25.121075,1,21,baseline
12.390719,54.108902,1,21,feedback
43.99925,-17.71045,1,21,planning
-50.152443,15.374813,1,22,baseline
-54.711147,34.467903,1,22,feedback
-69.77331,7.9099803,1,22,planning
-38.55572,-0.12657899,1,23,baseline
-31.685133,46.410988,1,23,feedback
-37.609383,-9.648365,1,23,planning
-62.75895,17.309305,1,24,baseline
-14.032855,-6.9787507,1,24,feedback
-61.768974,13.828017,1,24,planning
-66.10225,-11.9386635,1,25,baseline
-57.1175,-32.86297,1,25,feedback
-30.386051,30.75142,1,25,planning
-55.078777,-23.014078,1,26,baseline
14.9049425,55.43419,1,26,feedback
-37.288116,-35.924034,1,26,planning
-69.896736,15.47714,1,27,baseline
17.044657,-19.552584,1,27,feedback
-22.797009,16.098238,1,27,planning
-63.483738,23.66452,1,28,baseline
-6.7964277,-1.1687522,1,28,feedback
-19.477669,-24.509998,1,28,planning
-71.382675,1.7285714,1,29,baseline
-27.635313,35.19366,1,29,feedback
-10.881636,2.2560542,1,29,planning
-3.749298,52.226746,1,30,baseline
-34.139668,39.16168,1,30,feedback
-20.597569,-26.037024,1,30,planning
-68.4571,12.488595,1,31,baseline
-1.8695751,43.712322,1,31,feedback
-19.853107,-24.977129,1,31,planning
-67.61916,-8.395925,1,32,baseline
2.9464154,-31.552279,1,32,feedback
-30.595057,30.574356,1,32,planning
18.207825,37.44839,1,33,baseline
14.435508,-1.3000189,1,33,feedback
4.2948623,-40.677727,1,33,planning
-64.47804,2.2799451,1,34,baseline
-47.618088,32.26844,1,34,feedback
-29.930996,-42.30053,1,34,planning
-40.742764,7.3926764,1,35,baseline
-72.29847,21.594265,1,35,feedback
-57.070114,-27.862665,1,35,planning
10.415639,17.710495,1,36,baseline
-20.402468,-41.907696,1,36,feedback
-25.981274,-26.967447,1,36,planning
-41.5629,38.331898,1,37,baseline
-22.069647,-38.805668,1,37,feedback
-35.44848,7.3991423,1,37,planning
-42.660534,-10.20896,1,38,baseline
12.855641,16.480463,1,38,feedback
-14.802277,3.8468487,1,38,planning
-53.192936,17.980188,1,39,baseline
40.471123,-8.158083,1,39,feedback
-28.60701,14.2366085,1,39,planning
-60.416534,21.513569,1,40,baseline
40.425747,-8.091079,1,40,feedback
-55.23384,-10.604837,1,40,planning
-26.91252,38.737473,1,41,baseline
29.098234,-27.304514,1,41,feedback
-49.177666,20.67843,1,41,planning
-40.156387,29.77142,1,42,baseline
26.385576,-18.601587,1,42,feedback
1.0747005,-39.3651,1,42,planning
5.995544,-6.826144,1,43,baseline
18.377748,-48.36303,1,43,feedback
6.730923,-64.09089,1,43,planning
-57.482872,11.632454,1,44,baseline
-2.6343393,-4.886196,1,44,feedback
-6.170274,2.243376,1,44,planning
-65.551735,14.6904745,1,45,baseline
-13.200626,-49.049362,1,45,feedback
20.567831,8.5415945,1,45,planning
-65.616516,8.933679,1,46,baseline
46.191227,-25.574083,1,46,feedback
-13.223903,-41.5573,1,46,planning
-34.412785,24.974586,1,47,baseline
53.867123,2.1678057,1,47,feedback
-2.388968,-58.360462,1,47,planning
-40.78941,25.495758,1,48,baseline
11.782141,-8.679873,1,48,feedback
-18.364641,-23.492764,1,48,planning
-2.3834305,29.136812,1,49,baseline
19.372389,-49.64873,1,49,feedback
-16.280989,-59.872208,1,49,planning
-45.86188,37.225502,1,50,baseline
-21.555471,-41.273434,1,50,feedback
-54.26794,-4.443979,1,50,planning
-37.684345,15.79652,1,51,baseline
34.06055,-4.3260236,1,51,feedback
-53.832695,-12.2562895,1,51,planning
-25.31557,-22.558811,1,52,baseline
64.46688,3.5960736,1,52,feedback
8.040359,-22.165432,1,52,planning
49.878876,6.1017866,1,53,baseline
76.79955,-4.502698,1,53,feedback
47.900917,-33.25968,1,53,planning
48.65815,15.449411,1,54,baseline
80.72616,-3.6960835,1,54,feedback
44.33912,-38.625626,1,54,planning
49.843227,24.496067,1,55,baseline
76.717804,-1.8556881,1,55,feedback
10.944829,-31.792917,1,55,planning
41.16338,19.174057,1,56,baseline
43.508045,-35.480072,1,56,feedback
26.89817,1.2728045,1,56,planning
54.472446,19.866789,1,57,baseline
79.01564,-7.653794,1,57,feedback
15.2205305,-39.91296,1,57,planning
44.699657,12.919473,1,58,baseline
64.62803,-4.427981,1,58,feedback
67.94053,-5.270229,1,58,planning
24.427872,17.714851,1,59,baseline
19.145683,50.115837,1,59,feedback
34.44759,-7.6767764,1,59,planning
-12.539118,14.85889,1,60,baseline
49.077877,25.32759,1,60,feedback
-1.5740486,-58.993378,1,60,planning
-10.041825,41.96878,1,61,baseline
26.00021,-48.745373,1,61,feedback
-6.479098,2.0013902,1,61,planning
63.40093,-10.048246,1,62,baseline
15.093096,-11.171236,1,62,feedback
30.412302,-25.398373,1,62,planning
53.42994,23.814045,1,63,baseline
26.164297,-47.185062,1,63,feedback
-10.766038,-59.788834,1,63,planning
49.801994,6.841209,1,64,baseline
-4.681334,32.784485,1,64,feedback
45.957962,-35.876305,1,64,planning
41.773823,18.873093,1,65,baseline
29.109266,23.865566,1,65,feedback
29.183992,-41.96172,1,65,planning
3.9375322,31.777906,1,66,baseline
53.539803,-25.663649,1,66,feedback
1.0167118,9.283017,1,66,planning
3.9566054,31.754097,1,67,baseline
13.768192,7.1614323,1,67,feedback
-49.389404,0.20327184,1,67,planning
-3.3837435,26.669664,1,68,baseline
21.911825,11.423695,1,68,feedback
53.372993,-35.689476,1,68,planning
6.4787583,-19.987667,1,69,baseline
52.742214,20.676697,1,69,feedback
17.063072,2.1981218,1,69,planning
35.757214,32.293415,1,70,baseline
80.101776,9.610517,1,70,feedback
-18.043726,-22.568066,1,70,planning
32.903267,35.751953,1,71,baseline
