column_0,column_1,column_2,column_3,column_4,participant,trial,period
-37.812866,-6.878838,16.928934,-6.949592,13.973046,1,0,baseline
-1.3525124,-15.022332,13.776497,5.224732,-0.84600866,1,0,feedback
-15.902928,-4.867346,-23.343155,-5.0636954,-1.6657543,1,0,planning
-34.11311,-23.4189,20.324335,-3.5584793,12.349192,1,1,baseline
-5.7978945,-17.845715,7.301855,6.344367,-3.263132,1,1,feedback
-11.43097,-10.697777,-18.558722,-8.061501,0.6773361,1,1,planning
-35.059605,-16.766558,12.172296,5.716307,9.984137,1,2,baseline
-7.5265555,-18.90527,-0.03844452,2.4175744,-4.8587685,1,2,feedback
-4.472061,-6.1444736,-8.149179,-4.022663,-4.0324636,1,2,planning
-43.133053,-20.476437,9.350388,0.6830864,14.12589,1,3,baseline
-9.079164,-20.918213,-3.1778007,1.9823029,-3.9938228,1,3,feedback
-16.368883,-11.094196,-1.6150019,-2.9001102,-4.0291004,1,3,planning
-48.166557,-21.549786,10.804534,2.0305014,13.802694,1,4,baseline
-10.933774,-25.276512,-8.007595,1.4587429,1.5551273,1,4,feedback
-19.187805,-13.5758705,-5.9838657,-2.2012105,-4.890169,1,4,planning
-46.843906,-12.654557,3.7006044,-4.7092304,14.0913725,1,5,baseline
-18.209154,-32.552063,3.8846645,5.9926186,-2.2509503,1,5,feedback
-22.03924,-6.6628027,-13.279613,-5.104451,0.4137351,1,5,planning
-43.605515,-22.961016,14.621789,4.4400735,12.918289,1,6,baseline
-7.7053933,-20.1935,5.876962,3.2463346,1.1377364,1,6,feedback
-20.823698,-13.070973,-9.91618,-8.131862,-7.245169,1,6,planning
-46.522366,-17.04541,11.465168,-0.30728006,14.262554,1,7,baseline
-10.150227,-20.24303,-1.7798162,2.7771354,-2.075786,1,7,feedback
-16.441229,-10.001,-5.697938,-4.9434533,-3.6271589,1,7,planning
-37.098255,-15.1839,11.420507,1.5008054,16.96456,1,8,baseline
-9.181486,-26.505371,1.8289967,1.2711623,-2.7044778,1,8,feedback
-21.003199,-12.015796,-8.90564,-3.39672,-6.209958,1,8,planning
-45.068012,-21.184679,10.511655,0.0826745,13.799254,1,9,baseline
-1.0525202,-22.956247,1.2180073,2.163156,-2.552134,1,9,feedback
-17.822323,-14.637925,-7.754783,-4.243723,-9.639947,1,9,planning
-23.305515,-20.070105,13.053497,4.5828876,7.4795833,1,10,baseline
-13.204902,-30.241774,19.01639,2.549522,2.7993557,1,10,feedback
-13.755984,-11.828042,-7.9745593,-5.3060665,0.24900186,1,10,planning
-40.325924,-12.401714,19.688824,-9.706579,11.391834,1,11,baseline
-20.046776,-20.633497,10.780008,4.460701,-5.3242545,1,11,feedback
-16.461964,-14.3150015,-22.858856,-4.883457,-2.7403457,1,11,planning
-44.576015,-15.240099,35.057034,0.7718487,13.53857,1,12,baseline
-2.0897589,-21.518892,-51.391556,9.595317,-20.448637,1,12,feedback
-18.393328,-14.408845,-21.037453,-6.925453,-3.0540333,1,12,planning
-35.403088,-21.933186,18.472208,1.9770918,7.6004686,1,13,baseline
-5.4097137,-14.914788,2.4208906,0.85685074,-2.546292,1,13,feedback
-13.209145,-8.066377,-8.209624,-5.933816,-3.108547,1,13,planning
-38.11655,-16.28798,10.3566265,7.5233397,8.547262,1,14,baseline
-8.159062,-19.970871,4.0450883,3.099228,-1.8263713,1,14,feedback
-11.500914,-8.933776,-9.809638,-3.2542372,-4.8848333,1,14,planning
-35.59149,-14.722769,14.427434,-0.6153965,13.308426,1,15,baseline
-13.882715,-23.562077,-4.9783115,3.9025602,-2.4937181,1,15,feedback
-14.624817,-11.623796,-15.25524,-4.2220616,-3.0697463,1,15,planning
-47.718086,-21.223282,8.80138,4.21257,10.434715,1,16,baseline
-10.723286,-21.509058,-3.3657398,2.8876414,-1.5106468,1,16,feedback
-16.634687,-10.423663,-4.026391,-2.715898,-2.473547,1,16,planning
-46.845554,-22.701807,4.48022,-0.08848977,12.446395,1,17,baseline
-4.5524592,-18.195724,-12.363168,2.9099884,0.5336615,1,17,feedback
-20.572172,-10.808229,-8.6942835,-2.2785318,2.9967108,1,17,planning
-41.22581,-16.2978,6.6863923,-1.9989529,15.734785,1,18,baseline
-9.799648,-19.994238,18.905561,4.678934,-1.1247671,1,18,feedback
-11.25074,-6.44081,-15.8379755,-4.876353,-0.37162066,1,18,planning
-40.527527,-14.790653,22.827862,-6.5331326,16.865444,1,19,baseline
-2.177803,-19.317532,-16.932194,6.64837,-4.158183,1,19,feedback
-14.3945055,-5.2865276,-25.589931,-7.4267077,2.1032956,1,19,planning
-45.33605,-16.134882,15.8569565,-2.8518934,14.8008995,1,20,baseline
-14.277602,-17.091513,20.92966,2.8469028,-3.740356,1,20,feedback
-16.366808,-11.582089,-15.969146,-4.0017204,-5.130691,1,20,planning
-37.238277,-17.4254,28.868769,8.391069,12.325896,1,21,baseline
-8.510607,-20.408724,-2.144238,2.4294443,-2.6804578,1,21,feedback
-7.7408385,-4.325781,-2.717341,-6.4128823,-5.073745,1,21,planning
-41.203983,-18.680147,12.681995,0.1680708,12.325915,1,22,baseline
-15.860637,-25.4114,-0.13458014,3.753905,-3.2798996,1,22,feedback
-24.121077,-13.363471,-10.14279,-4.6020412,0.91232765,1,22,planning
-43.0819,-9.694936,23.066248,-2.7361698,11.377356,1,23,baseline
-20.614624,-16.80083,13.996309,2.9862452,-2.606001,1,23,feedback
-18.470472,-7.6484923,-23.311445,-1.7503798,-2.2463737,1,23,planning
-43.18479,-18.913559,19.861103,4.3742924,11.163193,1,24,baseline
-13.332621,-19.329865,-0.8271699,2.6537418,-0.73859054,1,24,feedback
-20.375782,-16.977793,-12.815964,-1.5233679,1.022408,1,24,planning
-49.148758,-8.69763,10.343245,-2.73701,8.013613,1,25,baseline
-15.977777,-21.66032,-5.5199013,2.2542877,-1.5360733,1,25,feedback
-19.922344,-4.544233,-8.720175,-2.2586722,-0.20559636,1,25,planning
-41.99607,-12.515602,11.600525,-4.8509016,6.6333375,1,26,baseline
-13.347957,-19.600533,-2.455482,3.180044,-4.0992556,1,26,feedback
-16.864986,-6.6803637,-9.15358,-4.4322467,-4.8303566,1,26,planning
-46.254925,-15.748911,8.112875,-1.446846,15.856361,1,27,baseline
-11.097344,-14.407818,-2.8959577,4.047237,-2.6335678,1,27,feedback
-16.041477,-8.0878935,-7.0137453,-3.3456917,-1.4771631,1,27,planning
-44.23713,-9.885022,11.226616,2.395115,14.539907,1,28,baseline
-11.294462,-19.619406,0.119423866,3.423109,-2.3342516,1,28,feedback
-16.445244,-5.2303715,-4.0645604,-4.3075104,-4.4219604,1,28,planning
-52.785294,-5.4454722,19.527859,-2.495389,12.447973,1,29,baseline
-20.876707,-17.91006,18.481062,3.4152827,-2.9208622,1,29,feedback
-15.555341,-5.5642543,-22.255093,-4.829588,-1.7287679,1,29,planning
-35.709454,-15.974311,21.185932,10.168989,15.860204,1,30,baseline
-11.270773,-34.00285,18.423569,4.138301,-2.1540384,1,30,feedback
-17.730541,-5.827286,-3.7990007,-5.1709404,-5.270743,1,30,planning
-47.248543,-19.485945,28.373062,2.8348007,13.25975,1,31,baseline
-9.696746,-24.787746,5.7384744,6.3620324,1.5331132,1,31,feedback
-13.612728,-13.521158,-17.889044,-7.75122,-4.462137,1,31,planning
-47.60668,-20.951963,11.990959,-2.3431726,8.742066,1,32,baseline
-7.9370947,-23.405178,3.185934,4.4409065,-0.6267745,1,32,feedback
-15.6359825,-13.966038,-5.6786685,-6.465759,-0.2045027,1,32,planning
-29.970284,-12.873054,11.994282,0.22198677,13.604411,1,33,baseline
-12.349708,-15.076312,2.2951412,3.203409,-5.2423925,1,33,feedback
-11.983942,-6.714014,-5.1574965,-5.1935635,-4.5436363,1,33,planning
-45.559525,-17.01052,14.487521,0.81178856,11.155156,1,34,baseline
-14.067393,-21.859505,-2.9854712,3.580731,-2.3636668,1,34,feedback
-17.699398,-9.880486,-8.31018,-5.348012,-6.655979,1,34,planning
-40.50258,-17.113977,10.202967,0.99559927,11.526279,1,35,baseline
-16.831352,-28.609413,12.891929,2.8530445,-3.7478747,1,35,feedback
-21.664427,-9.605341,-9.854184,-5.681715,-5.3266344,1,35,planning
-31.66665,-15.2126875,18.092388,9.678414,11.040473,1,36,baseline
-10.477885,-26.094912,11.148428,3.603293,-6.0372667,1,36,feedback
-14.117079,-11.455349,-0.08127797,-4.8678236,-3.5459085,1,36,planning
-42.21582,-18.367994,32.74465,0.1366663,13.566038,1,37,baseline
-13.27149,-28.204353,23.425793,0.8237158,-1.3513458,1,37,feedback
-16.88095,-12.089673,-25.425945,-3.6830873,-0.34530753,1,37,planning
-40.75063,-7.9364157,11.650361,2.0739303,10.657359,1,38,baseline
-8.044422,-18.209436,-2.885024,3.357706,-2.4604166,1,38,feedback
-16.323322,-8.238594,-3.5288265,-4.4724402,-1.5444835,1,38,planning
-41.52756,-18.784285,13.849337,1.9603629,13.5972595,1,39,baseline
-5.1338353,-19.549006,8.915224,5.8727245,-2.3972616,1,39,feedback
-18.315332,-9.900453,-11.243236,-5.8150477,0.7567978,1,39,planning
-45.65171,-17.749498,26.97408,-2.6492863,15.060964,1,40,baseline
-4.9655933,-18.829227,-0.41846228,2.9552584,-2.5441518,1,40,feedback
-20.790178,-14.0219555,-19.815445,-4.9686494,-2.6714475,1,40,planning
-35.258785,-19.587294,13.602015,1.4484344,13.41915,1,41,baseline
-5.461564,-18.38337,-3.357952,4.1246967,-4.7023854,1,41,feedback
-18.277214,-10.939266,-9.225355,-4.0358815,0.15010703,1,41,planning
-41.10147,-13.351013,12.477403,-1.861722,13.22856,1,42,baseline
-12.998224,-12.32782,5.1371336,6.852316,-4.641116,1,42,feedback
-12.41646,-8.320731,-17.923674,-5.561803,-3.368608,1,42,planning
-33.560818,-13.131432,34.29216,-1.4828377,8.865572,1,43,baseline
-14.781177,-18.20539,17.736027,2.708904,-1.9875158,1,43,feedback
-11.884581,0.60887486,-4.9343386,-7.3846955,-4.3553104,1,43,planning
-44.2653,-19.727444,32.17803,0.61284447,13.540741,1,44,baseline
-9.892527,-23.590523,5.9457316,5.7059255,0.1611991,1,44,feedback
-15.466279,-8.196121,-26.068008,-4.273845,-3.089684,1,44,planning
-47.549316,-12.9948845,29.686802,-4.4091396,11.88388,1,45,baseline
-12.187502,-22.32362,5.5450397,6.2921414,-2.5799656,1,45,feedback
-12.467305,0.34910786,-23.972809,-7.9961996,-1.8544054,1,45,planning
-45.52714,-13.93157,14.129752,3.1771455,11.348329,1,46,baseline
-8.5307255,-11.4225,1.2147844,4.5830507,0.29496828,1,46,feedback
-12.893456,-6.6543264,-14.646723,-6.3199944,-8.028179,1,46,planning
-37.47077,-14.035846,7.546344,3.0442984,13.27574,1,47,baseline
-4.4219913,-12.98762,-2.2214246,2.5062742,-3.8592753,1,47,feedback
-12.167344,-7.1133094,-5.9178905,-2.601575,-7.156697,1,47,planning
-39.311245,-12.694854,10.159787,2.8917422,14.390387,1,48,baseline
-13.9388,-16.115084,7.804214,4.417682,-1.2531139,1,48,feedback
-17.530117,-4.530686,-1.1477827,-4.713802,-4.155138,1,48,planning
-35.720814,-5.0230594,17.075943,0.96362877,11.368988,1,49,baseline
-8.055896,-19.579521,-2.568389,2.161475,-0.81010336,1,49,feedback
-15.302441,-4.5391335,-8.475769,-4.753321,-6.39707,1,49,planning
-42.052025,-7.874472,8.273677,2.682598,12.0489855,1,50,baseline
-15.919165,-19.3485,12.73143,3.9779108,0.7923255,1,50,feedback
-25.614481,2.2758262,-18.159594,-6.54307,-5.6177135,1,50,planning
-44.342354,3.0360234,17.330952,4.327243,8.849224,1,51,baseline
-11.804144,-15.1770935,11.434983,0.14709407,1.9629313,1,51,feedback
-23.168827,-6.329048,-5.182666,-2.878856,-4.519235,1,51,planning
-41.1451,-4.144102,24.005314,-8.040895,7.171054,1,52,baseline
-6.7191234,-10.965742,4.284785,2.2862167,-2.8154383,1,52,feedback
-16.925371,6.897478,-24.695896,-3.1449308,-1.6690428,1,52,planning
